Street;Neighbourhood;City;Zipcode;Country;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews;Reviews per Month
Moratalaz, Madrid, Madrid 28030, Spain;Moratalaz;Madrid;28030;Spain;Apartment;Entire home/apt;7;2.0;4.0;5.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;1345.0;120.0;200.0;;4;0;5;20;0.55
Aluche, Madrid, Madrid 28047, Spain;Aluche;Madrid;28047;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Doorman,Elevator in building,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;97.0;16.0;;;1;8;2;23;0.76
San Blas, Madrid, Madrid 28022, Spain;San Blas;Madrid;28022;Spain;Apartment;Entire home/apt;3;2.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Smoking allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Suitable for events,Washer,Dryer;646.0;90.0;;;1;0;1;31;0.75
Ciudad Lineal, Madrid, Madrid 28027, Spain;Ciudad Lineal;Madrid;28027;Spain;Bed & Breakfast;Private room;3;1.0;1.0;3.0;Real Bed;TV,Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials;969.0;25.0;;10.0;1;11;2;6;0.17
Palos do Moguer, Madrid, Community of Madrid 28012, Spain;Palos do Moguer;Madrid;28012;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox;650.0;85.0;250.0;60.0;1;0;3;48;1.05
Justicia, Madrid, Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo;861.0;37.0;;;1;0;1;11;0.19
Justicia, Madrid, Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Breakfast,Pets live on this property,Dog(s),Elevator in building,Buzzer/wireless intercom,Heating,Washer,Shampoo;969.0;35.0;150.0;;1;25;2;31;0.56
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;40.0;81.0;200.0;32.0;2;11;4;13;0.44
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;House;Private room;5;5.0;1.0;7.0;Real Bed;Cable TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Washer,Dryer,Fire extinguisher;2153.0;28.0;;;1;28;1;20;0.35
Cortes, Madrid, Community of Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;377.0;60.0;;;2;0;2;60;1.38
Cortes, Madrid, Madrid 28012, Spain;Cortes;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Shampoo,Hair dryer,Iron;431.0;59.0;100.0;;2;10;3;14;0.23
Sol, Madrid, Community of Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Hangers,Hair dryer,Iron;646.0;75.0;200.0;45.0;2;15;2;137;2.94
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;4;1.5;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Shampoo,Hangers,Hair dryer,Iron;1076.0;95.0;100.0;20.0;1;0;2;180;3.28
La Latina, Madrid, Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;700.0;65.0;200.0;20.0;2;12;2;40;0.77
Palacio, Madrid, Community of Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Apartment;Private room;2;1.0;1.0;1.0;Futon;Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Shampoo,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;50.0;32.0;;;2;0;3;210;3.11
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials;484.0;85.0;200.0;40.0;2;20;2;25;0.82
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer;377.0;55.0;200.0;15.0;1;15;5;0;
Cortes, Madrid, Madrid 28013, Spain;Cortes;Madrid;28013;Spain;Apartment;Entire home/apt;6;2.0;3.0;6.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Breakfast,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Hangers;141.0;148.0;200.0;120.0;1;0;1;91;3.34
Sol, Madrid, Community of Madrid 28012, Spain;Sol;Madrid;28012;Spain;Apartment;Entire home/apt;6;2.0;3.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Hot tub,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;2153.0;199.0;350.0;60.0;2;30;2;140;3.6
La Latina, Madrid, Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;2.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Iron;700.0;100.0;100.0;30.0;2;10;3;50;0.75
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Pull-out Sofa;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer;30.0;65.0;200.0;32.0;2;11;4;2;0.04
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;700.0;85.0;200.0;;2;8;2;14;0.37
La Latina, Madrid, Community of Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;753.0;90.0;;50.0;2;20;3;41;0.94
Cortes, Madrid, Madrid 28012, Spain;Cortes;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Shampoo,Hair dryer,Iron;431.0;59.0;100.0;;2;10;3;21;0.37
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Heating,Washer,Dryer,Essentials,Shampoo;269.0;59.0;;;1;0;1;192;4.56
Acacias, Madrid, Comunidad de Madrid 28005, Spain;Acacias;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Cable TV,Wheelchair accessible,Pool,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron;753.0;60.0;100.0;30.0;2;12;2;16;0.22
Sol, Madrid, Madrid 28012, Spain;Sol;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;603.0;85.0;100.0;55.0;2;15;3;129;1.92
Aluche, Madrid, Madrid 28011, Spain;Aluche;Madrid;28011;Spain;Apartment;Private room;6;2.0;1.0;7.0;Real Bed;TV,Internet,Wireless Internet,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Washer,Dryer;2691.0;20.0;;12.0;1;15;2;39;0.57
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;700.0;80.0;200.0;60.0;2;15;3;19;0.28
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Pull-out Sofa;Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;35.0;50.0;100.0;;1;0;5;38;0.68
Palacio, Madrid, Madrid 28013, Spain;Palacio;Madrid;28013;Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Dog(s),Elevator in building,Heating,Family/kid friendly,Essentials,Shampoo,translation missing: en.hosting_amenity_50;280.0;39.0;;15.0;1;0;2;89;4.58
La Latina, Madrid, Comunidad de Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron;323.0;65.0;300.0;30.0;2;10;3;79;1.99
La Latina, Madrid, Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;700.0;115.0;200.0;45.0;2;0;3;7;0.15
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;409.0;85.0;150.0;25.0;3;10;4;126;2.91
Cortes, Madrid, Madrid 28012, Spain;Cortes;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;25.0;70.0;200.0;32.0;2;11;4;10;0.71
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;Wireless Internet,Family/kid friendly,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;40.0;76.0;200.0;32.0;2;11;4;15;0.5
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room,Private entrance;70.0;45.0;150.0;25.0;2;0;3;4;0.08
Ciudad Lineal, Madrid, Madrid 28027, Spain;Ciudad Lineal;Madrid;28027;Spain;Apartment;Entire home/apt;5;2.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;807.0;85.0;;;4;0;7;10;0.25
Centro, Madrid, Madrid 28008, Spain;Centro;Madrid;28008;Spain;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Laptop friendly workspace;269.0;42.0;94.0;10.0;1;15;2;4;2.45
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;452.0;55.0;100.0;40.0;1;10;2;110;2.12
Ciudad Jardin, Madrid, Madrid 28002, Spain;Ciudad Jardin;Madrid;28002;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Breakfast,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;86.0;38.0;150.0;;1;0;1;23;0.55
Argüelles, Madrid, Madrid 28008, Spain;Argüelles;Madrid;28008;Spain;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;807.0;80.0;;37.0;1;0;3;30;0.71
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer;1076.0;40.0;;;1;0;1;5;0.09
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;6;1.5;3.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;75.0;119.0;200.0;48.0;2;11;4;3;0.11
Malasaña, Madrid, Community of Madrid 28015, Spain;Malasaña;Madrid;28015;Spain;Apartment;Entire home/apt;5;2.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;861.0;110.0;200.0;95.0;3;20;3;122;2.09
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox,Private living room;323.0;55.0;90.0;20.0;2;10;2;257;4.45
Imperial, Madrid, Madrid 28005, Spain;Imperial;Madrid;28005;Spain;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;1184.0;30.0;;;1;0;14;0;
Palos do Moguer, Madrid, Community of Madrid 28045, Spain;Palos do Moguer;Madrid;28045;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;108.0;27.0;;;1;0;3;76;2.0
Estrella, Madrid, Comunidad de Madrid 28007, Spain;Estrella;Madrid;28007;Spain;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Breakfast,Elevator in building,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;22.0;50.0;;;1;0;2;10;0.43
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;8;1.0;3.0;5.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Hot tub,Heating,Family/kid friendly,Washer,Essentials,Hair dryer;1076.0;80.0;200.0;;2;10;3;74;1.85
Trafalgar, Madrid, Madrid 28015, Spain;Trafalgar;Madrid;28015;Spain;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Safety card,Essentials;1722.0;50.0;;;1;0;1;0;
Almenara, Madrid, Community of Madrid 28029, Spain;Almenara;Madrid;28029;Spain;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron;484.0;52.0;150.0;;2;0;2;5;0.13
Almenara, Madrid, 28046, Spain;Almenara;Madrid;28046;Spain;Apartment;Entire home/apt;6;1.5;3.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;1507.0;170.0;150.0;;2;25;2;20;0.4
San Blas, Madrid, Madrid 28037, Spain;San Blas;Madrid;28037;Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Wireless Internet,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;151.0;20.0;;;1;10;1;8;0.15
San Blas, Madrid, Community of Madrid 28037, Spain;San Blas;Madrid;28037;Spain;House;Entire home/apt;12;3.0;5.0;5.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;1356.0;200.0;500.0;100.0;1;10;1;0;
San Blas, Madrid , Madrid 28022, Spain;San Blas;Madrid;28022;Spain;Apartment;Private room;8;2.0;1.0;6.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo;753.0;25.0;;5.0;1;15;3;14;0.24
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;484.0;70.0;;;2;15;5;12;0.22
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,Dryer,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;484.0;56.0;100.0;;2;12;3;95;2.2
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;592.0;50.0;;25.0;2;15;2;80;1.85
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Doorman Entry;538.0;52.0;200.0;;1;0;2;73;2.02
Cortes, Madrid, Madrid 28012, Spain;Cortes;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hair dryer,Iron;388.0;59.0;100.0;;2;10;3;34;0.57
Palacio, Madrid, Comunidad de Madrid 28004, Spain;Palacio;Madrid;28004;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;215.0;30.0;;15.0;2;10;2;0;
Sol, Madrid, Madrid 28012, Spain;Sol;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo;538.0;108.0;150.0;30.0;2;15;3;42;0.75
Sol, Madrid, Comunidad de Madrid 28012, Spain;Sol;Madrid;28012;Spain;Apartment;Entire home/apt;10;2.0;2.0;6.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;1453.0;98.0;300.0;50.0;1;24;2;77;1.94
Madrid, Madrid 28007, Spain;Adelfas;Madrid;28007;Spain;Condominium;Entire home/apt;4;2.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;80.0;76.0;;;4;15;4;4;0.13
San Blas, Madrid, Community of Madrid 28037, Spain;San Blas;Madrid;28037;Spain;Apartment;Entire home/apt;6;1.5;2.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron;1292.0;85.0;200.0;30.0;4;10;3;68;1.67
Palacio, Madrid, Community of Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Smoke detector,First aid kit,Fire extinguisher,Hair dryer,Laptop friendly workspace;646.0;65.0;140.0;20.0;2;45;2;118;2.13
Cortes, Madrid, Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;55.0;86.0;200.0;32.0;2;11;4;3;0.18
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;7;1.0;3.0;4.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;807.0;100.0;300.0;50.0;2;40;2;80;1.13
La Latina, Madrid, Community of Madrid, Spain;La Latina;Madrid;;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;646.0;50.0;100.0;20.0;2;5;3;24;0.81
Chamberí, Madrid, Community of Madrid 28015, Spain;Chamberí;Madrid;28015;Spain;Loft;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials;646.0;49.0;;30.0;1;0;2;108;2.81
