Street;Neighbourhood;City;Zipcode;Country;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Location;Cancellation Policy;Reviews per Month
Aluche, Madrid, Comunidad de Madrid 28011, Spain;Aluche;Madrid;28011;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,translation missing: en.hosting_amenity_50;;29.0;100.0;50.0;1;5;1;0;0;5;280;4;9.0;moderate;0.46
La Latina, Madrid, Comunidad de Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Condominium;Entire home/apt;4;2.0;2.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Hair dryer,Laptop friendly workspace;;60.0;100.0;25.0;1;0;3;0;0;0;0;0;;flexible;
Castellana, Madrid, Comunidad de Madrid 28006, Spain;Castellana;Madrid;28006;Spain;House;Private room;2;1.5;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room;;40.0;;;1;25;1;10;10;31;306;8;10.0;flexible;4.29
Madrid, Comunidad de Madrid 28014, Spain;;Madrid;28014;Spain;Apartment;Private room;2;1.0;2.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Hot tub,Heating,Family/kid friendly,Suitable for events,Washer,Essentials;;30.0;;5.0;1;0;1;6;32;62;153;0;;moderate;
Madrid, Comunidad de Madrid 28025, Spain;;Madrid;28025;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Heating,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;15.0;;10.0;1;0;1;18;47;77;352;4;10.0;flexible;0.56
Madrid, Comunidad de Madrid 28004, Spain;;Madrid;28004;Spain;Condominium;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron;;44.0;;20.0;1;0;1;5;19;43;318;36;10.0;strict;3.7
Castellana, Madrid, Comunidad de Madrid 28001, Spain;Castellana;Madrid;28001;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;70.0;;40.0;2;20;1;14;26;54;79;9;10.0;strict;0.67
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox,Private living room;323.0;55.0;90.0;20.0;2;10;2;0;4;24;297;257;10.0;moderate;4.45
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Iron,Laptop friendly workspace;;50.0;;;1;0;2;0;0;0;0;5;10.0;strict;1.03
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;8;2.0;4.0;5.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;170.0;250.0;80.0;6;15;3;5;17;35;150;36;9.0;strict;3.2
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;;45.0;100.0;15.0;1;15;3;9;19;27;302;70;10.0;moderate;3.89
Goya, Madrid, Comunidad de Madrid 28009, Spain;Goya;Madrid;28009;Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Safety card,Essentials,Shampoo;;34.0;;9.0;1;15;1;19;49;79;354;7;10.0;moderate;0.63
Valdeacederas, Madrid, Comunidad de Madrid 28039, Spain;Valdeacederas;Madrid;28039;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Washer,Essentials,Lock on bedroom door,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private living room;;21.0;;;1;0;3;4;4;9;284;1;8.0;flexible;1.0
Villaverde, Madrid, Comunidad de Madrid 28021, Spain;Villaverde;Madrid;28021;Spain;Apartment;Shared room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Breakfast,Heating,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;10.0;;;1;0;1;16;35;53;326;2;9.0;flexible;2.0
Cortes, Madrid, Comunidad de Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;8;2.0;4.0;6.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;160.0;200.0;70.0;2;10;2;9;14;33;290;11;10.0;strict;1.57
La Latina, Madrid, Comunidad de Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace;;40.0;;5.0;2;5;1;0;0;0;238;23;9.0;strict;2.03
Madrid, Comunidad de Madrid 28006, Spain;;Madrid;28006;Spain;Apartment;Private room;3;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;28.0;;15.0;1;15;1;9;33;63;63;26;10.0;strict;2.89
Madrid, Comunidad de Madrid 28004, Spain;;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace;;70.0;250.0;30.0;2;80;2;0;0;0;0;19;10.0;strict;0.8
Goya, Madrid, Comunidad de Madrid 28001, Spain;Goya;Madrid;28001;Spain;Apartment;Entire home/apt;1;2.0;2.0;4.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Dryer,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace;;120.0;;20.0;4;10;5;11;11;17;292;0;;flexible;
Cortes, Madrid, Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;0.0;68.0;200.0;40.0;2;15;3;10;22;40;277;13;10.0;strict;0.31
Cuatro Caminos, Madrid, Comunidad de Madrid 28020, Spain;Cuatro Caminos;Madrid;28020;Spain;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Washer,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;19.0;;;1;0;2;3;3;3;3;1;10.0;flexible;0.33
Palacio, Madrid, Comunidad de Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;90.0;150.0;40.0;2;10;3;12;23;45;136;27;10.0;strict;0.68
Madrid, Comunidad de Madrid 28045, Spain;;Madrid;28045;Spain;Apartment;Entire home/apt;6;2.0;3.0;5.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;119.0;160.0;32.0;2;35;2;10;18;23;62;13;10.0;moderate;4.87
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;90.0;150.0;30.0;2;30;4;1;1;1;1;20;10.0;strict;1.99
Cortes, Madrid, Comunidad de Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;60.0;;;1;0;1;0;0;0;249;20;10.0;flexible;1.29
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo;;35.0;;;1;10;1;30;60;90;365;2;10.0;flexible;0.06
Nueva España, Madrid, Comunidad de Madrid 28016, Spain;Nueva España;Madrid;28016;Spain;Apartment;Entire home/apt;3;2.0;2.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Pool,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron,Laptop friendly workspace;;74.0;150.0;50.0;1;0;7;0;0;0;0;0;;moderate;
Madrid, Comunidad de Madrid 28041, Spain;;Madrid;28041;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Elevator in building,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials;;45.0;;;1;0;1;0;0;5;92;3;8.0;flexible;0.14
Madrid, Comunidad de Madrid 28006, Spain;;Madrid;28006;Spain;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;130.0;200.0;50.0;4;15;3;0;0;1;99;0;;moderate;
La Latina, Madrid, Comunidad de Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Doorman,Buzzer/wireless intercom,Heating,Washer,Smoke detector,First aid kit,Essentials,Hangers,Iron,Laptop friendly workspace;;14.0;;;1;20;1;0;0;0;0;1;;flexible;0.08
Madrid, Comunidad de Madrid 28045, Spain;;Madrid;28045;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private entrance;;45.0;;;1;0;3;1;2;7;55;15;9.0;moderate;4.95
La Latina, Madrid, Madrid 28005, Spain;La Latina;Madrid;28005;Spain;House;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;115.0;250.0;75.0;4;26;2;9;11;13;223;27;10.0;strict;0.46
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Family/kid friendly,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace;;40.0;;5.0;2;10;1;6;17;43;216;86;9.0;strict;7.57
Madrid, Comunidad de Madrid 28004, Spain;;Madrid;28004;Spain;Apartment;Entire home/apt;9;1.0;1.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Doorman Entry,Private entrance;;90.0;;20.0;8;20;2;5;23;37;306;2;10.0;strict;1.09
Aluche, Madrid, Comunidad de Madrid 28011, Spain;Aluche;Madrid;28011;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;25.0;;25.0;1;10;14;30;60;90;180;0;;flexible;
Villa de Vallecas, Madrid, Comunidad de Madrid 28031, Spain;Villa de Vallecas;Madrid;28031;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;30.0;;10.0;1;5;1;30;60;90;365;9;8.0;flexible;0.5
Madrid, Comunidad de Madrid 28007, Spain;;Madrid;28007;Spain;Apartment;Entire home/apt;5;1.0;3.0;3.0;Real Bed;TV,Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;75.0;100.0;;1;0;2;2;2;2;36;1;10.0;flexible;1.0
Hortaleza, Madrid, Comunidad de Madrid 28042, Spain;Hortaleza;Madrid;28042;Spain;Apartment;Entire home/apt;5;1.0;1.0;4.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;69.0;;;2;15;2;12;33;56;87;31;10.0;moderate;1.74
Sol, Madrid, Comunidad de Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Family/kid friendly,Washer;;70.0;;30.0;2;10;3;16;41;66;211;7;10.0;moderate;0.4
Moncloa, Madrid, Comunidad de Madrid 28040, Spain;Moncloa;Madrid;28040;Spain;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Pets allowed,Doorman,Breakfast,Pets live on this property,Cat(s),Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;;20.0;100.0;10.0;1;0;2;0;0;0;0;0;;flexible;
Madrid, Comunidad de Madrid 28004, Spain;;Madrid;28004;Spain;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;;99.0;;35.0;4;15;2;3;8;21;21;12;10.0;moderate;1.07
La Latina, Madrid, Comunidad de Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;89.0;100.0;25.0;1;10;4;6;36;66;66;33;10.0;strict;1.33
Madrid, Comunidad de Madrid 28004, Spain;;Madrid;28004;Spain;House;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;55.0;;15.0;2;15;1;3;9;15;15;19;10.0;flexible;1.6
Justicia, Madrid, Comunidad de Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Washer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;29.0;200.0;30.0;1;0;7;0;0;0;259;0;;strict;
Madrid, Comunidad de Madrid 28012, Spain;;Madrid;28012;Spain;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;79.0;175.0;25.0;2;17;2;6;15;30;261;14;10.0;moderate;2.31
Almagro, Madrid, Comunidad de Madrid 28010, Spain;Almagro;Madrid;28010;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Pull-out Sofa;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;70.0;200.0;20.0;2;15;2;13;41;67;157;18;10.0;strict;4.39
Madrid, Comunidad de Madrid 28014, Spain;;Madrid;28014;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo;;35.0;;8.0;1;15;1;22;52;82;357;15;10.0;flexible;0.78
Malasaña, Madrid, Comunidad de Madrid 28015, Spain;Malasaña;Madrid;28015;Spain;Hostel;Private room;2;8.0;1.0;16.0;Real Bed;TV,Wireless Internet,Heating,Family/kid friendly,Washer,Smoke detector,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;;45.0;;;1;0;1;12;36;58;333;0;;flexible;
Cuatro Caminos, Madrid, Comunidad de Madrid 28020, Spain;Cuatro Caminos;Madrid;28020;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hair dryer,Iron,Laptop friendly workspace;;95.0;;;1;0;2;2;9;39;69;24;10.0;moderate;1.83
La Latina, Madrid, Comunidad de Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;65.0;100.0;;1;0;5;1;1;6;281;2;10.0;flexible;0.58
Gaztambide, Madrid, Comunidad de Madrid 28015, Spain;Gaztambide;Madrid;28015;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;;63.0;;;1;0;3;0;2;2;192;3;10.0;flexible;0.15
Madrid, Comunidad de Madrid 28004, Spain;;Madrid;28004;Spain;Apartment;Entire home/apt;3;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;54.0;100.0;;2;15;1;1;6;6;63;126;10.0;strict;5.55
Jerónimos, Madrid, Comunidad de Madrid 28014, Spain;Jerónimos;Madrid;28014;Spain;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;285.0;;250.0;1;0;30;0;0;0;42;1;10.0;strict;0.37
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;;59.0;;30.0;2;0;4;6;6;8;272;21;9.0;strict;1.11
Nueva España, Madrid, Comunidad de Madrid 28016, Spain;Nueva España;Madrid;28016;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Washer,Dryer,Safety card,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;47.0;350.0;;1;0;1;7;15;44;44;0;;flexible;
Madrid, Comunidad de Madrid 28039, Spain;;Madrid;28039;Spain;Apartment;Entire home/apt;3;1.0;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Washer,Dryer,First aid kit,Hangers;;20.0;;;1;0;1;0;0;0;0;0;;flexible;
Carabanchel, Madrid, Comunidad de Madrid 28019, Spain;Carabanchel;Madrid;28019;Spain;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;Wireless Internet,Smoking allowed,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;25.0;;;1;5;1;0;0;0;0;0;;flexible;
Madrid, Comunidad de Madrid 28001, Spain;;Madrid;28001;Spain;Apartment;Entire home/apt;7;4.0;4.0;6.0;Real Bed;Family/kid friendly;;556.0;;103.0;1;0;3;13;31;42;192;0;;strict;
Cortes, Madrid, Comunidad de Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;69.0;;15.0;2;15;2;7;27;44;319;9;10.0;flexible;4.91
Lista, Madrid, Community of Madrid 28006, Spain;Lista;Madrid;28006;Spain;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Elevator in building,Buzzer/wireless intercom,Heating,Essentials,Shampoo;;38.0;;;1;0;1;10;31;54;319;4;10.0;strict;0.12
Madrid, Comunidad de Madrid 28041, Spain;;Madrid;28041;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,First aid kit,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;26.0;200.0;;1;20;2;5;8;30;303;7;8.0;moderate;0.4
Fuencarral-el Pardo, Madrid, Comunidad de Madrid 28029, Spain;Fuencarral-el Pardo;Madrid;28029;Spain;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;29.0;100.0;30.0;1;10;1;15;38;65;139;27;7.0;moderate;1.76
Madrid, Comunidad de Madrid 28015, Spain;;Madrid;28015;Spain;House;Private room;2;2.0;1.0;1.0;Real Bed;Smoking allowed,Pets allowed;;17.0;;10.0;1;0;1;18;42;72;347;1;10.0;strict;1.0
Cuatro Caminos, Madrid, Comunidad de Madrid 28020, Spain;Cuatro Caminos;Madrid;28020;Spain;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;TV,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Heating,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;35.0;100.0;8.0;2;10;1;24;54;84;84;1;10.0;moderate;0.16
La Latina, Madrid, Comunidad de Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Pets allowed,Breakfast,Pets live on this property,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hair dryer;;45.0;;18.0;1;0;3;0;0;0;0;15;10.0;moderate;1.47
Sol, Madrid, Comunidad de Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Private room;1;3.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Dryer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49;;37.0;200.0;30.0;1;0;7;0;0;24;299;0;;strict;
